episode,total_reward,episode_length
0,-3.0589442617367517,82
1,-3.0589442617367517,82
2,-3.0589442617367517,82
3,-3.0589442617367517,82
4,-3.0589442617367517,82
5,-3.0589442617367517,82
6,-3.0589442617367517,82
7,-3.0589442617367517,82
8,-3.0589442617367517,82
9,-3.0589442617367517,82
10,-3.0589442617367517,82
11,-3.0589442617367517,82
12,-3.0589442617367517,82
13,-3.0589442617367517,82
14,-3.0589442617367517,82
15,-3.0589442617367517,82
16,-3.0589442617367517,82
17,-3.0589442617367517,82
18,-3.0589442617367517,82
19,-3.0589442617367517,82
20,-3.0589442617367517,82
21,-3.0589442617367517,82
22,-3.0589442617367517,82
23,-3.0589442617367517,82
24,-3.0589442617367517,82
25,-3.0589442617367517,82
26,-3.0589442617367517,82
27,-3.0589442617367517,82
28,-3.0589442617367517,82
29,-3.0589442617367517,82
30,-3.0589442617367517,82
31,-3.0589442617367517,82
32,-3.0589442617367517,82
33,-3.0589442617367517,82
34,-3.0589442617367517,82
35,-3.0589442617367517,82
36,-3.0589442617367517,82
37,-3.0589442617367517,82
38,-3.0589442617367517,82
39,-3.0589442617367517,82
40,-3.0589442617367517,82
41,-3.0589442617367517,82
42,-3.0589442617367517,82
43,-3.0589442617367517,82
44,-3.0589442617367517,82
45,-3.0589442617367517,82
46,-3.0589442617367517,82
47,-3.0589442617367517,82
48,-3.0589442617367517,82
49,-3.0589442617367517,82
