Episode,Total_Reward
0,-369.9895879901252
1,-333.4908033720503
2,-346.1729167812764
3,-241.5646770940581
4,-259.61701905783264
5,-523.2028186955038
6,-370.99770872818874
7,-423.92555848417476
8,-362.9597592273089
9,-434.52233028124203
10,-308.0977576007298
11,-178.59210820224678
12,-403.1755826824866
13,-340.6174998128912
14,-371.3741758168592
15,-432.13611326414923
16,-268.6447541005573
17,-229.85999128763174
18,-404.1468451264682
19,-407.07136805831243
20,-255.91460475682428
21,-300.7832600000986
22,-217.58776884210812
23,-339.43460933264646
24,-444.670120193566
25,-275.18856966865934
26,-309.89725991940793
27,-441.2646689987925
28,-300.65507703926113
29,-322.8541220205002
30,-243.1180470009897
31,-209.27991858159606
32,-405.56785315707924
33,-258.71264863495895
34,-313.30595613787034
35,-333.17550112413267
36,-297.85383591851786
37,-571.6703709398462
38,-395.4572255239542
39,-340.98910987244477
40,-257.05292540770796
41,-340.8259262337011
42,-175.60168481646133
43,-351.3903089301758
44,-250.9862233133547
45,-406.6495362859286
46,-205.44688468667385
47,-361.47895281585005
48,-489.95401340187453
49,-250.71135071778525
50,-346.17984417302296
51,-322.1502981155516
52,-461.83348772569474
53,-272.0646179020845
54,-211.1239497176736
55,-357.9963111496607
56,-313.3035202350409
57,-300.17016750288263
58,-423.6370528402193
59,-324.4310166378964
60,-221.76338336242637
61,-334.4841051905946
62,-303.5574248186606
63,-311.1902073544429
64,-310.15058781302616
65,-320.3702658824294
66,-200.10272230892218
67,-428.955367678423
68,-467.3369605905461
69,-153.42181762674943
70,-369.5222368700294
71,-248.38519921127718
72,-304.3232049311234
73,-245.8280956019126
74,-324.96934989731494
75,-210.7636051864122
76,-337.36327266775766
77,-458.16246710919035
78,-313.78287100179614
79,-303.2536616959526
80,-237.60193519314046
81,-446.29931714011923
82,-216.17408586869118
83,-458.4384401457111
84,-342.73462561129605
85,-197.7235241270613
86,-269.5106926753395
87,-242.8207408081564
88,-247.4265168379922
89,-378.59518476490604
90,-258.90679182330246
91,-319.2389663755762
92,-268.27743512747236
93,-345.8241645504103
94,-341.04363784040606
95,-397.4333798745619
96,-354.69357092455414
97,-284.8860457661425
98,-368.9279567302773
99,-265.9989899229913
100,-171.24832887731102
101,-176.9851497355828
102,-254.85645351563764
103,-178.15619350951854
104,-409.1914456944377
105,-366.47645013832295
106,-342.15015922969167
107,-328.39708323576247
108,-491.75959567512257
109,-308.1264293446735
110,-255.18969692861367
111,-420.2481718973073
112,-253.06892434014011
113,-163.02171896326496
114,-309.76990924091496
115,-270.3216075341752
116,-369.40999819098363
117,-257.2014191350398
118,-223.83515728498264
119,-205.5722031287971
120,-288.0468505498485
121,-314.04873590655245
122,-407.9976057777057
123,-428.58543774168555
124,-285.32002147323215
125,-287.82400647264467
126,-246.59908197886892
127,-271.25002353629
128,-279.42585318122644
129,-161.15679004541724
130,-317.6242755412634
131,-167.39441069107124
132,-330.49081667555186
133,-397.6949206771117
134,-240.54211696718593
135,-262.01819979706903
136,-267.14969445160204
137,-303.39324462364414
